username,title,business_size,validated_user,verified_current_user,review_source,date,rating,review_title,like_best,dislike,benefits
Verified User in Entertainment,,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2020-03-02,4.5,"""Partnerize Review""",The staff and product team are Flexible and innovative Review collected by and hosted on G2.com.,"It is still too early to tell, but some people can't make all meetings Review collected by and hosted on G2.com.",
Blake A.,,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2020-03-02,5.0,"""Partnerize is so much better than our last affiliate platform.""","Aside from how user-friendly the platform is, we really love how much support they provide. I have bi-weekly calls with our rep to discuss any issues we're having and to learn about new features coming down the pipeline. They also have a support email that our affiliates can reach out to if they're having any issues with the platform or need help navigating it. Our team is very lean so this support allows us to focus on other areas. Review collected by and hosted on G2.com.",Nothing really comes to mind. I think our Director would say she wishes we paid a little less but that's mostly because we have such a small budget for tools and platforms. We paid less with our previous platform but you definitely get what you pay for and we're very happy with our decision to move to Partnerize. Review collected by and hosted on G2.com.,
Will M.,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2020-03-02,5.0,"""Great Platform""","I've used Partnerize from both sides, publisher, and partner. Both are great. Reporting is robust, and the documentation is helpful. The Partnerize staff is always very kind, professional and quick to respond. The platform is easy to use and seems to be constantly evolving. There always seems to be new features right around the corner. Review collected by and hosted on G2.com.","I've used Partnerize from both sides, publisher, and partner. Both are great. Reporting is robust, and the documentation is helpful. The Partnerize staff is always very kind, professional and quick to respond. The platform is easy to use and seems to be constantly evolving. There always seems to be new features right around the corner. Review collected by and hosted on G2.com.",
Kate M.,"Director, Publisher Solutions",Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2020-04-09,5.0,"""Robust network, amazing reporting and tracking, with the best staff!""","As a publisher, Partnerize was able to connect me with advertisers to partner with very seamlessly and quickly and continues to do so. They have robust customization and reporting to prove our incrementality and can personalize to any brand or situation. I also love how easily I can pivot data in reporting. They also have an awesome team of employees across all departments. They are fun, smart people who work hard and are happy to help. Review collected by and hosted on G2.com.","As a publisher, Partnerize was able to connect me with advertisers to partner with very seamlessly and quickly and continues to do so. They have robust customization and reporting to prove our incrementality and can personalize to any brand or situation. I also love how easily I can pivot data in reporting. They also have an awesome team of employees across all departments. They are fun, smart people who work hard and are happy to help. Review collected by and hosted on G2.com.",
Kon P.,,Enterprise (>1000 emp.),No,No,G2 invite on behalf of seller,2020-03-03,4.5,"""Robust Platform that is Trending Up""",It is a very robust affiliate platform with a lot of customization available and many new features rolling out at a fast pace. I particularly like the platform's flexibility in tracking different types of sales and paying out publishers for different conversion types. Review collected by and hosted on G2.com.,It is a very robust affiliate platform with a lot of customization available and many new features rolling out at a fast pace. I particularly like the platform's flexibility in tracking different types of sales and paying out publishers for different conversion types. Review collected by and hosted on G2.com.,
Valeria B.,Senior Affiliates & Partnerships Executive,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2020-03-17,4.5,"""Easy payments, great tech flexibility, supportive customer care.""","- Payments have been facilitated immensely: hustle-free invoicing, no required prepayment / top up.","- Payments have been facilitated immensely: hustle-free invoicing, no required prepayment / top up.",
Verified User in Hospitality,,Enterprise (>1000 emp.),No,No,G2 invite on behalf of seller,2020-03-13,4.0,"""Customizable Reporting and Commissioning Rules""","Ability to customize reporting fields, customer success team support Review collected by and hosted on G2.com.","Ability to customize reporting fields, customer success team support Review collected by and hosted on G2.com.",
Verified User in Retail,,Enterprise (>1000 emp.),No,No,G2 invite on behalf of seller,2020-03-03,4.0,"""Great platform overall""","Partnerize is a great platform for managing partners and our affiliate program. Where it shines is around the commissioning rules to commission on any meta parameter along with it's reporting and the ability to export every detail of an order to dive deeper into a partner's performance. As a SaaS platform, enhancements are always being worked on to improve usability and they take feedback from partners on what features are needed. Another reason we chose Partnerize was their ability to make payments to partners globally. Support is generally quite helpful in answering any questions within a reasonable time. Review collected by and hosted on G2.com.","Partnerize is a great platform for managing partners and our affiliate program. Where it shines is around the commissioning rules to commission on any meta parameter along with it's reporting and the ability to export every detail of an order to dive deeper into a partner's performance. As a SaaS platform, enhancements are always being worked on to improve usability and they take feedback from partners on what features are needed. Another reason we chose Partnerize was their ability to make payments to partners globally. Support is generally quite helpful in answering any questions within a reasonable time. Review collected by and hosted on G2.com.",
Frits A.,Head of Digital Marketing,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2023-09-14,4.5,"""The most advanced Affiliate Marketing Program solution in market""","On first sight, the platform looks and works great. The backend is easy to use, fast and works intuitively.","On first sight, the platform looks and works great. The backend is easy to use, fast and works intuitively.",
Verified User in Marketing and Advertising,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2020-08-21,5.0,"""Power without the complexity""",The analytical features alone are worth working with Partnerize. The ability to view data in a non-standard/new way helps uncover so many more ways to not only interpret the data but react to it. Review collected by and hosted on G2.com.,The analytical features alone are worth working with Partnerize. The ability to view data in a non-standard/new way helps uncover so many more ways to not only interpret the data but react to it. Review collected by and hosted on G2.com.,
Mike R.,"Senior Manager, Mobile App & Loyalty",Enterprise (>1000 emp.),No,No,G2 invite on behalf of seller,2020-03-14,5.0,"""Partnerize enables customer success""","The thing that I like most about Partnerize is the willingness to help solve problems for me as a client.  When there are issues, their team is readily available to help and strategize on how we can solve them through the tech platform.  I enjoy working with the team and the technology platforms really enable success. Review collected by and hosted on G2.com.","The thing that I like most about Partnerize is the willingness to help solve problems for me as a client.  When there are issues, their team is readily available to help and strategize on how we can solve them through the tech platform.  I enjoy working with the team and the technology platforms really enable success. Review collected by and hosted on G2.com.",
Verified User in Consumer Electronics,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2020-05-13,4.0,"""Powerful software with a few silly bugs""",SKU-level sales reports.  We see what is performing and where. Review collected by and hosted on G2.com.,SKU-level sales reports.  We see what is performing and where. Review collected by and hosted on G2.com.,
Verified User in Information Technology and Services,,Enterprise (>1000 emp.),No,No,G2 invite on behalf of seller,2020-08-20,5.0,"""Global partner program""",How the platform allows for a global platform by supporting commissions on numerous product types and multiple currencies. Review collected by and hosted on G2.com.,How the platform allows for a global platform by supporting commissions on numerous product types and multiple currencies. Review collected by and hosted on G2.com.,
April R.,Partnerships Manager,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2020-03-17,5.0,"""Flawless Support""",They offer great support and advice and are always willing to help. They listen to all feedback and make sure they action it. Review collected by and hosted on G2.com.,They offer great support and advice and are always willing to help. They listen to all feedback and make sure they action it. Review collected by and hosted on G2.com.,
Charlie V.,,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2020-03-24,4.5,"""Powerful Affiliate Partnerships platform with outstanding service""","The team at Partnerize have successfully help us build out our Affiliate program and the technology has enabled us to run and scale our operations with great ease. They've managed to help us develop some key business relationships, and always kept us abreast of what's new in the market. Review collected by and hosted on G2.com.","The team at Partnerize have successfully help us build out our Affiliate program and the technology has enabled us to run and scale our operations with great ease. They've managed to help us develop some key business relationships, and always kept us abreast of what's new in the market. Review collected by and hosted on G2.com.",
"Verified User in Leisure, Travel & Tourism",,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2020-05-26,3.0,"""Keep your eye on Partnerize.""","A nimble/flexible platform for an advanced user, scrappy and ready to scale Review collected by and hosted on G2.com.","A nimble/flexible platform for an advanced user, scrappy and ready to scale Review collected by and hosted on G2.com.",
Pierre L.,Cofounder & COO,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2020-08-07,4.0,"""Working with Partnerize's partners team has been nothing but a pleasure""","The team is incredibly kind, helpful, and engaging Review collected by and hosted on G2.com.","The team is incredibly kind, helpful, and engaging Review collected by and hosted on G2.com.",
