username,title,business_type,business_size,validated_user,verified_current_user,review_source,incentivized_review,date,rating,review_title,like_best,dislike,benefits
Verified User in Retail,Small-Business(50 or fewer emp.),,,Yes,No,,No,2023-11-15,0,"""Terrible Program, Negative Impact to Revenue, Full of Coupon/Scam Traffic - No Value, Terrible.""","A nice tool to outreach to the database of affiliates. We contacted thousands, no-one ever replied, even ones we know personally never recieved the message. Nice tools in practise, CJ takes your minimum monhtly payment and provided no value, even negative impact on revenue Review collected by and hosted on G2.com.",CJ has only coupon affiliates which means you end up paying for customers you already have or would attract without any impact from CJ. These means your CAC increases. This means it costs you more money to work with CJ,We wanted to join an affiliate program and expand our inhouse affiliate program.
Verified User in Publishing,Small-Business(50 or fewer emp.),,,Yes,No,,No,2023-10-13,0,"""Missing Funds and Unresponsive Customer Support""","The ONLY thing I like about CJ.com is the common advantage of such affiliate platforms: it centralizes performance tracking and earnings from various campaigns into one account, reducing the need to interact with multiple companies or issue numerous invoices. However, the negatives have outweighed this sole benefit. After over a decade of affiliation, the severe issues I faced have led me to transition to direct affiliations with key companies. Review collected by and hosted on G2.com.","The ONLY thing I like about CJ.com is the common advantage of such affiliate platforms: it centralizes performance tracking and earnings from various campaigns into one account, reducing the need to interact with multiple companies or issue numerous invoices. However, the negatives have outweighed this sole benefit. After over a decade of affiliation, the severe issues I faced have led me to transition to direct affiliations with key companies. Review collected by and hosted on G2.com.","The ONLY thing I like about CJ.com is the common advantage of such affiliate platforms: it centralizes performance tracking and earnings from various campaigns into one account, reducing the need to interact with multiple companies or issue numerous invoices. However, the negatives have outweighed this sole benefit. After over a decade of affiliation, the severe issues I faced have led me to transition to direct affiliations with key companies. Review collected by and hosted on G2.com."
Yashwant P.,Freelance,Small-Business,,Yes,No,,No,2023-07-10,4.5,"""One of the best and flexible affiliate advisor""",CJ affiliate is one of the best affiliate finder in the as it allows to get better advertising campaigns as per the individual preference and easy to use as well instead of google. Also there is no membership fee for joining this platform. It is the best affiliate program I have ever seen. Review collected by and hosted on G2.com.,CJ affiliate is one of the best affiliate finder in the as it allows to get better advertising campaigns as per the individual preference and easy to use as well instead of google. Also there is no membership fee for joining this platform. It is the best affiliate program I have ever seen. Review collected by and hosted on G2.com.,CJ affiliate is one of the best affiliate finder in the as it allows to get better advertising campaigns as per the individual preference and easy to use as well instead of google. Also there is no membership fee for joining this platform. It is the best affiliate program I have ever seen. Review collected by and hosted on G2.com.
David A.,International Marketing Director,Small-Business,,Yes,No,,No,2023-03-23,0.5,"""Commission Junction stole our deposit and never give it back (6500$)""","If you want to develop your business via affiliation, make your own affiliation program and develop it yourself by contacting directly the sites that are in your niche. Entrusting this task to Commission Junction and Advertising Purple is simply a huge waste of time and money. Review collected by and hosted on G2.com.","If you want to develop your business via affiliation, make your own affiliation program and develop it yourself by contacting directly the sites that are in your niche. Entrusting this task to Commission Junction and Advertising Purple is simply a huge waste of time and money. Review collected by and hosted on G2.com.","If you want to develop your business via affiliation, make your own affiliation program and develop it yourself by contacting directly the sites that are in your niche. Entrusting this task to Commission Junction and Advertising Purple is simply a huge waste of time and money. Review collected by and hosted on G2.com."
Taylor H.,Creative Strategist,Small-Business,,Yes,No,Review source: G2 invite,Yes,2023-05-25,2.5,"""It's okay""",The software deployment team I worked with initially to launch our program was very kind and helpful. The interface is simple enough. Review collected by and hosted on G2.com.,The software deployment team I worked with initially to launch our program was very kind and helpful. The interface is simple enough. Review collected by and hosted on G2.com.,The software deployment team I worked with initially to launch our program was very kind and helpful. The interface is simple enough. Review collected by and hosted on G2.com.
Ryan C.,Freelance Creative Director,Small-Business,,Yes,No,,No,2023-04-19,4,"""My Experience with CJ Affiliate""","Impressed with CJ Affiliate's vast network of advertisers, flexible commission structures, and reliable payments. User-friendly platform with helpful support and resources for improving affiliate marketing skills. Highly recommended for anyone starting or expanding their affiliate network. Review collected by and hosted on G2.com.","Impressed with CJ Affiliate's vast network of advertisers, flexible commission structures, and reliable payments. User-friendly platform with helpful support and resources for improving affiliate marketing skills. Highly recommended for anyone starting or expanding their affiliate network. Review collected by and hosted on G2.com.","Impressed with CJ Affiliate's vast network of advertisers, flexible commission structures, and reliable payments. User-friendly platform with helpful support and resources for improving affiliate marketing skills. Highly recommended for anyone starting or expanding their affiliate network. Review collected by and hosted on G2.com."
Satyam V.,Founder,Small-Business,,Yes,No,,No,2023-04-12,4,"""A Reliable Affiliate Marketing Network""","CJ Affiliate Network has many campaigns for different regions, including India and USA. They have a good approval rate for campaigns. If they decline your application, they provide helpful feedback to improve your website. Review collected by and hosted on G2.com.","CJ Affiliate Network has many campaigns for different regions, including India and USA. They have a good approval rate for campaigns. If they decline your application, they provide helpful feedback to improve your website. Review collected by and hosted on G2.com.","CJ Affiliate Network has many campaigns for different regions, including India and USA. They have a good approval rate for campaigns. If they decline your application, they provide helpful feedback to improve your website. Review collected by and hosted on G2.com."
Bhabisya B.,Content creator,Small-Business,,Yes,No,,No,2023-04-21,5,"""The biggest Affiliate Network""","CJ Affiliate has a vast number of affiliate programs which I like the most. And have lots of features compared to other networks, which also I like. Review collected by and hosted on G2.com.","CJ Affiliate has a vast number of affiliate programs which I like the most. And have lots of features compared to other networks, which also I like. Review collected by and hosted on G2.com.","CJ Affiliate has a vast number of affiliate programs which I like the most. And have lots of features compared to other networks, which also I like. Review collected by and hosted on G2.com."
Meghan E.,Compliance Manager,Consumer Services,,Yes,No,,No,2023-04-18,4,"""Easy to manage affiliates!""",I like that you can keep multiple affiliates in one location to help keep track and see any earnings. Review collected by and hosted on G2.com.,I like that you can keep multiple affiliates in one location to help keep track and see any earnings. Review collected by and hosted on G2.com.,I like that you can keep multiple affiliates in one location to help keep track and see any earnings. Review collected by and hosted on G2.com.
Austin Z.,Marketing Manager,Small-Business,,Yes,No,,No,2023-04-18,5,"""The place to be if you are an online affiliate""",It has a ton of opportunies to promote products due to the size of the the network. You can find just about anything to promote. Review collected by and hosted on G2.com.,It has a ton of opportunies to promote products due to the size of the the network. You can find just about anything to promote. Review collected by and hosted on G2.com.,It has a ton of opportunies to promote products due to the size of the the network. You can find just about anything to promote. Review collected by and hosted on G2.com.
